            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462771.500000000, A.D. 2030-Sep-27 00:00:00.0000, -9.289417604807415E-01,  1.352914229880612E+00,  5.114715424983034E-02, -1.101309079892861E-02, -6.728211573069998E-03,  1.288936846890687E-04,  9.482982065440371E-03,  1.641927446377082E+00,  6.909070945326478E-04,
2462772.500000000, A.D. 2030-Sep-28 00:00:00.0000, -9.399236402148229E-01,  1.346140824847496E+00,  5.127433568298120E-02, -1.095055919167558E-02, -6.818504033350626E-03,  1.254684784017365E-04,  9.486947047419918E-03,  1.642613961725491E+00,  6.821177422899889E-04,
2462773.500000000, A.D. 2030-Sep-29 00:00:00.0000, -9.508426607220646E-01,  1.339277411162770E+00,  5.139808982084916E-02, -1.088737318312297E-02, -6.908228348105899E-03,  1.220391359414263E-04,  9.490861164765959E-03,  1.643291670135615E+00,  6.732933091066157E-04,
2462774.500000000, A.D. 2030-Sep-30 00:00:00.0000, -9.616981700448696E-01,  1.332324558610557E+00,  5.151841262297775E-02, -1.082353764815108E-02, -6.997381261734979E-03,  1.186058415535267E-04,  9.494724216496435E-03,  1.643960536808490E+00,  6.644343394477166E-04,
2462775.500000000, A.D. 2030-Oct-01 00:00:00.0000, -9.724895211044875E-01,  1.325282840202237E+00,  5.163530023631768E-02, -1.075905745816859E-02, -7.085959550819683E-03,  1.151687822803625E-04,  9.498536004743683E-03,  1.644620527484391E+00,  6.555413802730147E-04,
2462776.500000000, A.D. 2030-Oct-02 00:00:00.0000, -9.832160716911051E-01,  1.318152832144346E+00,  5.174874899454711E-02, -1.069393748447800E-02, -7.173960034165862E-03,  1.117281485362910E-04,  9.502296334747888E-03,  1.645271608441703E+00,  6.466149747727602E-04,
2462777.500000000, A.D. 2030-Oct-03 00:00:00.0000, -9.938771844528640E-01,  1.310935113806093E+00,  5.185875541686433E-02, -1.062818259178248E-02, -7.261379571502280E-03,  1.082841307269142E-04,  9.506005014842375E-03,  1.645913746494370E+00,  6.376556594787608E-04,
2462778.500000000, A.D. 2030-Oct-04 00:00:00.0000, -1.004472226884895E+00,  1.303630267686408E+00,  5.196531620672558E-02, -1.056179762859728E-02, -7.348215056208817E-03,  1.048369151493682E-04,  9.509661856434209E-03,  1.646546908988535E+00,  6.286639639338678E-04,
2462779.500000000, A.D. 2030-Oct-05 00:00:00.0000, -1.015000571319239E+00,  1.296238879381844E+00,  5.206842825100069E-02, -1.049478742243149E-02, -7.434463411917365E-03,  1.013866821129374E-04,  9.513266673989452E-03,  1.647171063799996E+00,  6.196404097831900E-04,
2462780.500000000, A.D. 2030-Oct-06 00:00:00.0000, -1.025461594914976E+00,  1.288761537556396E+00,  5.216808861929895E-02, -1.042715678302538E-02, -7.520121590657110E-03,  9.793360770490398E-05,  9.516819285025634E-03,  1.647786179332891E+00,  6.105855135259714E-04,
2462781.500000000, A.D. 2030-Oct-07 00:00:00.0000, -1.035854679647577E+00,  1.281198833912612E+00,  5.226429456300379E-02, -1.035891051153703E-02, -7.605186567380021E-03,  9.447786852253872E-05,  9.520319510104696E-03,  1.648392224518481E+00,  6.014997959910578E-04,
2462782.500000000, A.D. 2030-Oct-08 00:00:00.0000, -1.046179212297906E+00,  1.273551363162472E+00,  5.235704351412688E-02, -1.029005340873058E-02, -7.689655337173606E-03,  9.101964575070714E-05,  9.523767172820901E-03,  1.648989168813063E+00,  5.923837892752449E-04,
2462783.500000000, A.D. 2030-Oct-09 00:00:00.0000, -1.056434584442102E+00,  1.265819722997577E+00,  5.244633308448837E-02, -1.022059027386314E-02, -7.773524922951399E-03,  8.755912406486856E-05,  9.527162099786303E-03,  1.649576982195444E+00,  5.832380297531322E-04,
2462784.500000000, A.D. 2030-Oct-10 00:00:00.0000, -1.066620192442412E+00,  1.258004514059787E+00,  5.253216106528730E-02, -1.015052589620889E-02, -7.856792385877318E-03,  8.409648673775689E-05,  9.530504120619645E-03,  1.650155635165023E+00,  5.740630443221117E-04,
2462785.500000000, A.D. 2030-Oct-11 00:00:00.0000, -1.076735437437688E+00,  1.250106339913426E+00,  5.261452542654178E-02, -1.007986505028773E-02, -7.939454826552450E-03,  8.063191307872017E-05,  9.533793067938718E-03,  1.650725098740468E+00,  5.648593461487198E-04,
2462786.500000000, A.D. 2030-Oct-12 00:00:00.0000, -1.086779725332695E+00,  1.242125807018444E+00,  5.269342431599939E-02, -1.000861249663307E-02, -8.021509376727314E-03,  7.716557918351782E-05,  9.537028777350076E-03,  1.651285344457939E+00,  5.556274411716103E-04,
2462787.500000000, A.D. 2030-Oct-13 00:00:00.0000, -1.096752466786971E+00,  1.234063524703360E+00,  5.276885605779977E-02, -9.936772981474242E-03, -8.102953188594260E-03,  7.369765849672577E-05,  9.540211087433349E-03,  1.651836344368362E+00,  5.463678354826069E-04,
